crop,area_hectare,N,P,K,temperature,humidity,ph,rainfall,yield_per_hectare,total_yield
orange,7.44286268082528,19.826546948893583,15.381185950832776,10.05487190383202,26.30190066460885,93.43586922805231,7.865697963582568,115.48986324337807,10.721,79.795
banana,17.51220366616919,121.06789806643395,76.61745432966603,206.44162749761924,26.199502945709714,75.20613914030424,6.261609539538137,150.77469825027183,30.818,539.688
banana,18.678745478262762,93.99518882838643,72.5508152557517,243.97395301580178,31.180508877964783,61.64376789993134,6.146452319047162,188.6485410552757,28.27,528.043
maize,4.254716700565215,62.220981439169066,48.62134580041522,26.655125454410204,25.43838581713475,67.44236860863845,5.7559003916373905,75.70031289325014,3.074,13.078
grapes,14.829703723132607,19.309351442453007,145.32349293964734,197.55137726288544,23.00296668012512,83.99445550474279,5.946836754896475,60.62911774600908,7.698,114.156
rice,19.231128436505124,58.61543562048935,52.034519867165244,56.55017484096052,24.22698248590284,87.12493999219828,6.793850127076298,228.33326800731038,3.439,66.138
chickpea,2.103789688114785,39.60632429650099,70.30157909491561,72.63450714437091,16.105614969197298,24.82414392301801,6.97515248505717,74.61968115429332,1.487,3.129
chickpea,8.936271721833828,30.94725707102622,68.47081823498006,79.45577489718086,17.753477866479443,19.324043131484043,7.21980433316449,51.30231269322157,1.446,12.925
orange,17.784620106006226,22.79670521071596,14.650899502869109,7.445680594095855,19.976923400702027,90.54080979536064,7.40531382150703,98.44487964440408,11.809,210.025
coffee,17.279695131967646,116.19082516159511,24.80370235718788,26.418755846426553,28.13149166440693,52.32880802736066,7.01196715368545,193.63567683001364,0.851,14.709
orange,7.522217677496782,18.016311884413085,20.526829639605317,4.329688488290874,23.179410819646126,93.90428573622303,6.758998706405666,89.12988053730456,10.65,80.115
banana,13.824690373013041,107.794587729201,79.85722511486652,185.1597095410126,22.894576961622327,76.51904856934284,5.565158085183254,162.3590405768011,29.248,404.346
grapes,14.876267750887783,17.885020119474714,149.73303918390377,197.0374341583582,21.341107508215494,75.81717029988852,5.994368841035344,91.139721522118,7.567,112.57
banana,4.483406243174883,113.02795013626096,70.15851752238055,217.10290663475917,26.509525995841965,75.97470452774364,5.985086767590405,179.2970189462615,28.423,127.43
wheat,5.686505374318714,101.27573833295041,53.60653473555254,46.17432391904586,21.58220212052237,67.88641516645285,6.897075403405046,110.08402438530808,3.04,17.284
grapes,9.496590893903962,15.685270664879802,112.72523621694774,213.8381273285022,20.56229652261424,81.07441166891307,6.712046786625893,71.7619194917855,8.274,78.571
wheat,8.128081923207807,100.25148145444103,63.95154931756322,29.02929046446154,24.625467885676578,62.68128087139708,6.79133740198504,98.66051369540227,2.785,22.638
coffee,15.367117248872397,86.84013707298638,18.39677085316709,40.734116542476286,25.79596330847227,57.76420508858953,7.418972160698552,230.96150969669594,0.884,13.584
wheat,1.2967291184468805,100.89840214569205,56.344248316912946,46.907359809197764,20.12343421366354,52.79737156758139,7.007953389996804,119.70968463057878,2.515,3.262
coconut,0.6698720380307761,29.813567647416704,17.66930247435288,42.52482067825863,26.252016656614114,95.33032691766303,6.30561177445161,165.26376278023642,6.126,4.104
sugarcane,7.6996833935960485,126.31345013868159,71.0940966778636,77.62201448790181,27.628292877872983,75.31782185996511,6.47971137874936,160.6500183552791,62.742,483.092
wheat,7.815575634275184,109.53851867267299,43.63793959577706,34.544035003595404,19.849968471599926,66.17752392059651,7.051604099052393,111.9482449722229,2.902,22.683
wheat,8.454427575701928,99.44254540428467,55.00364207853797,51.447686391231095,18.78041542085347,61.731176211051945,6.857948068735835,64.8798361214702,3.024,25.562
grapes,10.114964682100599,11.82101848547572,112.92642822866638,204.03910623720986,24.604096372349904,85.6660278275744,6.168297700562544,62.2044547846451,8.521,86.192
wheat,11.475361604872148,109.73996668419296,49.960685603900245,44.03605702805531,16.015672010220605,62.222767926255436,6.596655249862586,32.82885398948211,2.863,32.853
cotton,7.955886563229193,126.14895246722905,61.27947555583366,53.05941294754497,25.90652951575374,68.91260893832778,7.055749103248966,42.565094618060954,1.884,14.988
cotton,17.058278969682465,137.21599188218485,48.20211724048247,54.73538907992724,21.058884455292038,69.91183977783066,6.549809107977314,60.67441474071054,1.836,31.311
wheat,19.17327271497238,127.480049275836,38.2541000391556,48.00880073476732,22.538868978266507,43.18523076072909,7.084944685767276,69.57368197677741,2.776,53.227
orange,19.066844246119555,15.235594276454403,8.721182096927526,17.390261394166902,23.464381656617032,91.5716817657523,6.935197101939824,57.59520307661672,11.061,210.906
orange,14.353916055602152,21.615630102961582,19.148366733161012,7.707712826024055,24.688353001362827,93.478627457785,7.375240125868762,140.08635882277292,9.091,130.496
coconut,17.746620558911133,21.354426790264597,8.928255361518286,25.8358517074425,30.91385512069395,92.99112062333256,5.612961915393957,158.5324589090722,6.206,110.131
grapes,2.907478756486779,13.084890304865343,179.58247100856488,186.74487406623086,24.082050418224853,81.01611781505552,6.0138469540649035,58.11382773369952,9.361,27.215
kidneybeans,16.200440431492897,17.43111064142798,57.158203752817506,18.383511497005586,17.06773130834379,10.0,5.829294726378835,84.45064439692135,1.091,17.67
watermelon,10.315533683075067,94.54908423306321,13.751514393236441,52.48906650120807,22.337058512217983,85.17270115668231,6.454455415233672,76.55890120397116,14.756,152.215
chickpea,2.9231483742345894,37.88547868752646,74.3578006356813,78.1776795279211,17.87006994083528,10.574269717549818,6.761676120911003,53.731485207904555,1.298,3.794
orange,5.731638476814737,17.866122726306074,15.873171958252286,6.996596107533286,18.388679950300485,100.0,7.687393297239111,89.45334310063461,9.135,52.361
orange,10.684691073455145,23.30073700670338,10.917798851902829,10.322948998676031,24.86675517652152,91.66096510974138,7.421690504253682,143.51497864067503,11.607,124.017
cotton,10.64225455805897,140.88265561704782,29.227904673800374,58.563184040317566,30.2802289053751,71.37900878501576,7.159163925256716,87.06309073115646,1.842,19.607
watermelon,15.993057056605972,97.347856027679,16.162416210281553,59.125454650426335,21.712860331608162,83.08896904407815,6.435032999003698,32.21809171542107,17.211,275.252
cotton,13.033357322914187,114.77325671652089,60.3642565377988,73.0695660246993,28.2733580648478,78.28600256845039,7.248079597726613,59.39356860728649,2.023,26.361
lentil,2.2810153304654333,14.083073624503344,83.25295016579726,20.175508672860815,24.587132622546548,68.7312078849687,6.158916203554159,37.87189838093571,1.04,2.371
watermelon,0.8535884137184617,121.81981554998967,9.670032583128961,36.10078554825467,25.45909818895777,88.30071092428484,5.727615319546416,44.958772465770885,16.124,13.763
coconut,19.27816144350199,25.890988869199635,14.248446403337246,46.54762722845059,26.930830783392828,91.72272767298149,5.596109415241325,188.6866015899286,6.024,116.124
chickpea,15.726991213317415,49.434295829888896,86.46544792323574,76.86701514018198,15.034355402260736,14.827084506930925,7.377717241367809,64.20082182845236,1.575,24.772
wheat,19.036645004412044,101.43462199896014,59.830405206078424,50.23873848276671,18.834237127418884,58.07436989290601,6.3932037489986095,95.46113293847807,3.256,61.982
rice,18.11245224649207,93.21980080598192,47.75124288455592,33.51293024706271,18.456532555808153,77.38637676472406,5.66220385538939,190.78511190556804,3.392,61.442
watermelon,12.534675976338207,96.75501540748446,24.570247543745204,56.35970199858171,22.61915933032942,72.4928310545817,6.361355172741665,44.55309160197338,17.705,221.924
chickpea,9.553395669556327,39.264220615726494,59.281863434307255,91.60559328056453,15.904453467325697,12.26158547082331,6.568301335187342,84.64259456499165,1.607,15.349
mango,8.684747236820714,22.63871612087541,20.35497859540194,35.92061690274329,34.91467794112842,56.95927334852973,5.47519496999253,83.39645368021466,7.691,66.792
orange,17.07666085823515,20.646213389720778,14.313324709581286,8.97938914238545,22.38160019723952,91.78773051367702,6.595111229781983,120.91985435127812,10.02,171.108
